Day,Topics,Questions,Question Difficulty,Assignment questions,Question Difficulty,Optional
1,Arrays,https://leetcode.com/problems/two-sum/,Easy,https://leetcode.com/problems/contains-duplicate/,Easy,
,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,https://leetcode.com/problems/valid-anagram/,Easy,
2,Arrays,https://leetcode.com/problems/valid-parentheses/,Easy,https://leetcode.com/problems/product-of-array-except-self/,Medium,
,,https://leetcode.com/problems/maximum-subarray/,Easy,https://leetcode.com/problems/3sum/,Medium,
3,Interval Array,https://leetcode.com/problems/container-with-most-water/,Medium,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,
,,https://leetcode.com/problems/merge-intervals/,Medium,https://leetcode.com/problems/insert-interval/,Medium,
,,,,https://leetcode.com/problems/non-overlapping-intervals/,Medium,
4,Matrix Array,https://leetcode.com/problems/set-matrix-zeroes/,Medium,https://leetcode.com/problems/spiral-matrix/,Medium,
,,https://leetcode.com/problems/rotate-image/,Medium,https://leetcode.com/problems/word-search/,Medium,
5,Stacks,,,https://leetcode.com/problems/next-greater-element-i/,Easy,
,,,,https://leetcode.com/problems/trapping-rain-water/,Hard,
6,Binary Search,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,
7,String,https://leetcode.com/problems/longest-substring-without-repeating-characters/ ,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,
,,https://leetcode.com/problems/minimum-window-substring/description/,Hard,https://leetcode.com/problems/valid-palindrome/,Easy,
8,String,https://leetcode.com/problems/valid-anagram),Easy,https://leetcode.com/problems/group-anagrams/,Medium,
,,https://leetcode.com/problems/valid-parentheses/,Easy,https://leetcode.com/problems/valid-palindrome-ii/,Easy,
9,String,https://leetcode.com/problems/longest-palindromic-substring/,Medium,https://leetcode.com/problems/palindromic-substrings/,Medium,
,,https://leetcode.com/problems/subsets/,Medium,https://leetcode.com/problems/subsets-ii/,Medium,
10,BitMap,https://leetcode.com/problems/sum-of-two-integers/,Medium,https://leetcode.com/problems/number-of-1-bits/,Easy,
,,https://leetcode.com/problems/missing-number/,Easy,https://leetcode.com/problems/counting-bits/,Medium,
11,Math,https://leetcode.com/problems/powx-n/,Medium,https://leetcode.com/problems/sqrtx/,Easy,
,,https://leetcode.com/problems/integer-to-english-words/,Hard,,,
12,Linked List,,,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,
,,,,https://leetcode.com/problems/odd-even-linked-list/,Medium,
13,Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,https://leetcode.com/problems/add-two-numbers-ii,Medium,
,,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,https://leetcode.com/problems/reorder-list/,Medium,
14,Tree,,,https://leetcode.com/problems/binary-tree-inorder-traversal/,Medium,
,,,,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,
15,Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,https://leetcode.com/problems/same-tree/,Easy,
,,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,https://leetcode.com/problems/invert-binary-tree/,Easy,
16,Tree,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,https://leetcode.com/problems/subtree-of-another-tree/,Easy,
,,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,
17,Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,https://leetcode.com/problems/delete-node-in-a-bst,Medium,
18,Tree,https://leetcode.com/problems/inorder-successor-in-bst-ii/,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,
,,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,Easy,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Easy,
19,Heap,,,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Easy,
20,Heap,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,https://leetcode.com/problems/find-median-from-data-stream/,Medium,
,,https://leetcode.com/problems/top-k-frequent-elements/,Medium,,,
21,Graph,,,https://leetcode.com/problems/redundant-connection/,Medium,
,,,,https://leetcode.com/problems/is-graph-bipartite/,Medium,
22,Graph,,,,,
23,Graph,https://leetcode.com/problems/course-schedule/,Medium,https://leetcode.com/problems/clone-graph/,Medium,
,,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,https://leetcode.com/problems/number-of-islands/,Medium,
24,Graph,https://leetcode.com/problems/friend-circles,Medium,https://leetcode.com/problems/accounts-merge/,Medium,
,,https://leetcode.com/problems/number-of-operations-to-make-network-connected/,Medium,,,
25,MST,,Medium,,,
26,MST,https://leetcode.com/problems/longest-consecutive-sequence/,Hard,https://leetcode.com/problems/cheapest-flights-within-k-stops/,Medium,
,,https://leetcode.com/problems/network-delay-time/,Medium,,,
27,String,https://leetcode.com/problems/shortest-palindrome/,Hard,https://leetcode.com/problems/implement-strstr/,Easy,
,,,,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,
,,https://leetcode.com/problems/next-permutation,Medium,,,
28,Backtracking,https://leetcode.com/problems/n-queens/,Hard,https://leetcode.com/problems/generate-parentheses/,Medium,
,,,,https://leetcode.com/problems/sudoku-solver/,Hard,
29,DP,https://leetcode.com/problems/minimum-path-sum/,Medium,https://leetcode.com/problems/ones-and-zeroes/,Medium,
,,,,https://leetcode.com/problems/coin-change/,Medium,
,,,,https://leetcode.com/problems/perfect-squares/,Medium,
30,DP,https://leetcode.com/problems/target-sum/,Medium,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,
,,,,https://leetcode.com/problems/unique-paths-ii/,Medium,
,,,,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/,Medium,